eval/mean_ep_length,train/n_updates,train/learning_rate,train/std,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,eval/success_rate,time/total_timesteps,eval/mean_reward,train/loss,train/value_loss,reward/env_0,pose_reward/env_0,success_rate/env_0,distance_reward/env_0,reward/env_1,distance_reward/env_1,success_rate/env_1,pose_reward/env_1,distance_reward/env_2,reward/env_2,success_rate/env_2,pose_reward/env_2,reward/env_3,distance_reward/env_3,success_rate/env_3,pose_reward/env_3,pose_reward/env_4,distance_reward/env_4,reward/env_4,success_rate/env_4,pose_reward/env_5,reward/env_5,success_rate/env_5,distance_reward/env_5,pose_reward/env_6,success_rate/env_6,distance_reward/env_6,reward/env_6,success_rate/env_7,reward/env_7,distance_reward/env_7,pose_reward/env_7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-25452.37880193752,-0.00271824366469459,-2964.07541541258
102.0,130,0.0003,0.9957976937294006,0.019671630859375,-1.1920928955078125e-07,-9.880054272711277,0.0041545704,-0.001663561077293707,0.2,0.0,216000,-1838.9880802100001,112103.046875,341345.4966064453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-20831.929899283445,-2205.1499995543277,0.0,0.48001634042111707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-18178.264100754735,1.161722443866368,0.0,-1757.3874059029743,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1.2686587013652535,-16562.434048343777,0.0,-1496.8560000919929,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-23044.57950178408,0.5182146216996676,0.0,-2569.963131585709,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1782.2019856276006,1.0357631453171405,-18305.907334893673,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2061.400586271961,-20007.98092193375,0.0,-0.11123405032007157,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1720.744301426073,0.0,1.2239282342166535,-17906.032239151136,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-17778.801278873365,2.220058977543183,-1695.3686054564357
102.0,140,0.0003,0.9915924668312073,0.019989013671875,-1.1920928955078125e-07,-9.884730052947997,0.0041750474,-0.0021263413908855,0.2,0.0,240000,-2053.3021425800002,162932.25,269808.11040039064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,0.0003,0.9902406334877014,0.019366455078125,0.0,-9.866200941801072,0.0038546096,-0.0018561295064500882,0.2,,,,153859.859375,324682.87419433595,-22620.7200334992,-2505.0150917187616,0.0,2.04675280223287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-22754.935744612965,1.6619765624603648,0.0,-2522.83293399796,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2.3988677330010058,-21329.44215624867,0.0,-2288.9875604411127,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-20727.394417031297,1.9524718338260232,0.0,-2191.366541339056,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2183.4641407471404,1.971176720072916,-20690.867784162376,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1992.3801832211768,-19536.758030412944,0.0,0.7388448190189497,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1955.692986654141,0.0,1.9523976668303227,-19313.353533923866,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-20015.85685994246,2.5718872502145484,-2072.2296972406325
102.0,160,0.0003,0.9847116470336914,0.022442626953125,1.1920928955078125e-07,-9.839445447921753,0.0043150513,-0.002269905466164346,0.2,0.0,264000,-3282.2839954899996,107964.3046875,310840.74509277346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-20762.65298147885,-2202.804910180152,0.0,2.5144132670053128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-21390.101684312376,3.211399700659704,0.0,-2307.7433470860574,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3.3789366893691506,-19390.59900334421,0.0,-1986.493770580071,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-20450.284240964284,2.689226894873987,0.0,-2152.584933722259,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2023.799806689183,3.0907323526960044,-19653.164446018985,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2022.4058797896068,-19707.60134723228,0.0,2.790655250883018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1766.8379358485,0.0,2.5395623505457636,-18170.700240987775,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-19498.903393594792,3.34155597035487,-1989.8404549028198
102.0,170,0.0003,0.9844325184822083,0.036798095703125,5.960464477539063e-08,-9.822638177871704,0.004761759,-0.0034539676837084697,0.2,0.0,288000,-2059.10609767,112956.265625,289043.8708740234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180,0.0003,0.9812082052230835,0.03316650390625,-1.1920928955078125e-07,-9.808936849236488,0.005218878,-0.0031816605674976016,0.2,,,,130299.171875,268983.7952392578,-20201.92840940972,-2116.355242286641,0.0,3.35217405168552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-22012.21184913173,3.719961479753522,0.0,-2416.2702696683727,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4.03339530225402,-16498.514888203288,0.0,-1505.8008766694763,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-19845.94305499734,1.4321606903689386,0.0,-2044.6043365232529,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2210.311831252364,2.9085519534268442,-20758.32967579369,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2141.9155956885897,-20415.983379538546,0.0,0.9033657654978937,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2006.3253910634962,0.0,4.1529471254617,-19557.94466362823,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-21970.16909049113,2.065142613112917,-2410.274991028299
102.0,190,0.0003,0.981902003288269,0.015704345703125,-1.1920928955078125e-07,-9.798597195744515,0.0040642307,-0.0013445711903841584,0.2,0.0,312000,-2088.93949686,136685.984375,267922.831640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-18266.25458173087,-1798.0579941465578,0.0,3.5005638580711724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-18912.370407978608,1.5753075400697591,0.0,-1903.4853755365073,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1.8761819897188592,-23145.53561433309,0.0,-2610.98045104524,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-21325.01361990264,2.7245445711979124,0.0,-2318.075147888308,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2447.4623203120336,3.030044830937696,-22129.50365288658,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1962.1668957683166,-19246.94456945103,0.0,2.8278008598098405,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2069.742976316756,0.0,2.244018523252002,-19898.903746761054,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-17887.860296396146,2.6332302069789146,-1738.1249462729998
102.0,200,0.0003,0.9823718667030334,0.021160888671875,0.0,-9.802243404090405,0.0034291663,-0.0018064246854919475,0.2,0.0,336000,-1872.6956943599996,129398.90625,271631.5117919922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,210,0.0003,0.9797021150588989,0.03363037109375,0.0,-9.793822211027145,0.0045271716,-0.0028402194429872907,0.2,,,,134317.640625,249401.07338867188,-18754.128883939204,-1878.6308577009256,0.0,0.4277103777201602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-16003.70281780042,0.6798021000567293,0.0,-1423.645271733455,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.30945791634404324,-18491.889755815784,0.0,-1836.4727505523124,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-18333.428849050113,0.7005018524406718,0.0,-1815.9536433607957,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1920.666266514253,1.82180606399578,-18990.976762701517,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1599.9892743940181,-17083.692400991138,0.0,1.8588742288305333,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2102.7389392015875,0.0,1.5891670966574116,-20047.808632629632,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-19584.207027183154,1.262056837831183,-2023.4782280350298
102.0,,,,,,,,,,0.0,360000,-2260.89922247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,0.0003,0.9847049117088318,0.0376953125,0.0,-9.80790014564991,0.004988243,-0.003042147869200562,0.2,,,,176476.421875,299442.9595703125,-19742.22847701555,-2049.301968101036,0.0,1.5822219317835187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-21204.688301300856,3.0291523902721633,0.0,-2295.325535940424,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1.9619412464541248,-19095.731542847723,0.0,-1938.7655317210777,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-17887.784681070145,2.4369414196890573,0.0,-1738.9160549313815,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1796.3007819435993,1.6119845845117962,-18224.042784154517,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2465.098528961854,-22232.371644156032,0.0,2.5215882691842473,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2150.68219023484,0.0,2.143342793692727,-20399.143084646843,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-16431.01159305964,0.8881638686124923,-1493.5717627118918
102.0,230,0.0003,0.9844452738761902,0.031597900390625,0.0,-9.816929419338702,0.005090823,-0.00289023635277772,0.2,0.0,384000,-2336.07000347,137952.296875,299251.30388183595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,0.0003,0.9868484735488892,0.03284912109375,1.1920928955078125e-07,-9.829484657943249,0.0046891775,-0.0027112393339848496,0.2,,,,160932.25,317593.81821289065,-17621.556353399807,-1708.3992671915253,0.0,2.9582082915495267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-18274.52177565773,2.1915018708491605,0.0,-1803.6267978138073,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2.2798468361847744,-20644.214962584774,0.0,-2201.8306739336335,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-24464.633161433005,1.7152665338515132,0.0,-2834.6691267726733,,,,,,,,,,,,,,,,
